date,daily_confirmed,cumulative_confirmed
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,1,1
2020-01-31,0,1
2020-02-01,0,1
2020-02-02,1,2
2020-02-03,1,3
2020-02-04,0,3
2020-02-05,0,3
2020-02-06,0,3
2020-02-07,0,3
2020-02-08,0,3
2020-02-09,0,3
2020-02-10,0,3
2020-02-11,0,3
2020-02-12,0,3
2020-02-13,0,3
2020-02-14,0,3
2020-02-15,0,3
2020-02-16,0,3
2020-02-17,0,3
2020-02-18,0,3
2020-02-19,0,3
2020-02-20,0,3
2020-02-21,0,3
2020-02-22,0,3
2020-02-23,0,3
2020-02-24,0,3
2020-02-25,0,3
2020-02-26,0,3
2020-02-27,0,3
2020-02-28,0,3
2020-02-29,0,3
2020-03-01,0,3
2020-03-02,2,5
2020-03-03,0,5
2020-03-04,23,28
2020-03-05,2,30
2020-03-06,1,31
2020-03-07,3,34
2020-03-08,5,39
2020-03-09,4,43
2020-03-10,13,56
2020-03-11,6,62
2020-03-12,11,73
2020-03-13,9,82
2020-03-14,20,102
2020-03-15,11,113
2020-03-16,6,119
2020-03-17,23,142
2020-03-18,14,156
2020-03-19,38,194
2020-03-20,50,244
2020-03-21,86,330
2020-03-22,66,396
2020-03-23,103,499
2020-03-24,37,536
2020-03-25,121,657
2020-03-26,70,727
2020-03-27,160,887
2020-03-28,100,987
2020-03-29,37,1024
2020-03-30,227,1251
2020-03-31,146,1397
2020-04-01,601,1998
2020-04-02,545,2543
2020-04-03,24,2567
2020-04-04,515,3082
2020-04-05,506,3588
2020-04-06,1190,4778
2020-04-07,533,5311
2020-04-08,605,5916
2020-04-09,809,6725
2020-04-10,873,7598
2020-04-11,848,8446
2020-04-12,759,9205
2020-04-13,1248,10453
2020-04-14,1034,11487
2020-04-15,835,12322
2020-04-16,1108,13430
2020-04-17,922,14352
2020-04-18,1370,15722
2020-04-19,1893,17615
2020-04-20,924,18539
2020-04-21,1541,20080
2020-04-22,1290,21370
2020-04-23,1707,23077
2020-04-24,1453,24530
2020-04-25,1753,26283
2020-04-26,1607,27890
2020-04-27,1561,29451
2020-04-28,1873,31324
2020-04-29,1738,33062
2020-04-30,1801,34863
2020-05-01,2394,37257
2020-05-02,2442,39699
2020-05-03,2806,42505
2020-05-04,3932,46437
2020-05-05,2963,49400
2020-05-06,3587,52987
2020-05-07,3364,56351
2020-05-08,3344,59695
2020-05-09,3113,62808
2020-05-10,4353,67161
2020-05-11,3607,70768
2020-05-12,3524,74292
2020-05-13,3763,78055
2020-05-14,3942,81997
2020-05-15,3787,85784
2020-05-16,4864,90648
2020-05-17,5050,95698
2020-05-18,4630,100328
2020-05-19,6147,106475
2020-05-20,5553,112028
2020-05-21,6198,118226
2020-05-22,6568,124794
2020-05-23,6629,131423
2020-05-24,7113,138536
2020-05-25,6414,144950
2020-05-26,5843,150793
2020-05-27,7293,158086
2020-05-28,7300,165386
2020-05-29,8105,173491
2020-05-30,8336,181827
2020-05-31,8782,190609
2020-06-01,7761,198370
2020-06-02,8821,207191
2020-06-03,9633,216824
2020-06-04,9889,226713
2020-06-05,9471,236184
2020-06-06,10438,246622
2020-06-07,10864,257486
2020-06-08,8442,265928
2020-06-09,10218,276146
2020-06-10,10459,286605
2020-06-11,10930,297535
2020-06-12,11458,308993
2020-06-13,11929,320922
2020-06-14,11502,332424
2020-06-15,10667,343091
2020-06-16,10974,354065
2020-06-17,12881,366946
2020-06-18,13586,380532
2020-06-19,14516,395048
2020-06-20,15403,410451
2020-06-21,14831,425282
2020-06-22,14933,440215
2020-06-23,15968,456183
2020-06-24,16922,473105
2020-06-25,17296,490401
2020-06-26,18552,508953
2020-06-27,19906,528859
2020-06-28,19459,548318
2020-06-29,18522,566840
2020-06-30,18641,585481
2020-07-01,19160,604641
2020-07-02,20903,625544
2020-07-03,22771,648315
2020-07-04,24850,673165
2020-07-05,24248,697413
2020-07-06,22251,719664
2020-07-07,22753,742417
2020-07-08,24879,767296
2020-07-09,26506,793802
2020-07-10,27114,820916
2020-07-11,28606,849522
2020-07-12,28732,878254
2020-07-13,28498,906752
2020-07-14,29429,936181
2020-07-15,32676,968857
2020-07-16,34975,1003832
2020-07-17,35252,1039084
2020-07-18,38697,1077781
2020-07-19,40425,1118206
2020-07-20,37132,1155338
2020-07-21,37740,1193078
2020-07-22,45720,1238798
2020-07-23,49310,1288108
2020-07-24,48916,1337024
2020-07-25,48611,1385635
2020-07-26,49981,1435616
2020-07-27,44457,1480073
2020-07-28,51596,1531669
2020-07-29,50294,1581963
2020-07-30,52783,1634746
2020-07-31,61242,1695988
2020-08-01,54735,1750723
2020-08-02,52972,1803695
2020-08-03,52050,1855745
2020-08-04,52509,1908254
2020-08-05,56282,1964536
2020-08-06,62538,2027074
2020-08-07,61537,2088611
2020-08-08,64399,2153010
2020-08-09,62064,2215074
2020-08-10,53601,2268675
2020-08-11,60963,2329638
2020-08-12,66999,2396637
2020-08-13,64553,2461190
2020-08-14,64732,2525922
2020-08-15,64030,2589952
2020-08-16,57711,2647663
2020-08-17,55018,2702681
2020-08-18,64572,2767253
2020-08-19,69672,2836925
2020-08-20,68900,2905825
2020-08-21,69876,2975701
2020-08-22,69239,3044940
2020-08-23,61408,3106348
2020-08-24,60975,3167323
2020-08-25,57224,3224547
2020-08-26,85687,3310234
2020-08-27,77266,3387500
2020-08-28,76472,3463972
2020-08-29,78761,3542733
2020-08-30,78512,3621245
2020-08-31,69921,3691166
2020-09-01,78357,3769523
2020-09-02,83883,3853406
2020-09-03,83341,3936747
2020-09-04,86432,4023179
2020-09-05,90632,4113811
2020-09-06,90802,4204613
2020-09-07,75809,4280422
2020-09-08,89706,4370128
2020-09-09,95735,4465863
2020-09-10,96551,4562414
2020-09-11,97570,4659984
2020-09-12,94372,4754356
2020-09-13,92071,4846427
2020-09-14,83809,4930236
2020-09-15,90123,5020359
2020-09-16,97894,5118253
2020-09-17,96424,5214677
2020-09-18,93337,5308014
2020-09-19,92605,5400619
2020-09-20,86961,5487580
2020-09-21,75083,5562663
2020-09-22,83347,5646010
2020-09-23,86508,5732518
2020-09-24,86052,5818570
2020-09-25,85362,5903932
2020-09-26,88600,5992532
2020-09-27,82170,6074702
2020-09-28,70589,6145291
2020-09-29,80472,6225763
2020-09-30,86821,6312584
2020-10-01,81484,6394068
2020-10-02,79476,6473544
2020-10-03,75829,6549373
2020-10-04,74442,6623815
2020-10-05,61267,6685082
2020-10-06,72049,6757131
2020-10-07,78524,6835655
2020-10-08,70496,6906151
2020-10-09,73272,6979423
2020-10-10,74383,7053806
2020-10-11,66732,7120538
2020-10-12,55342,7175880
2020-10-13,63509,7239389
2020-10-14,67708,7307097
2020-10-15,63371,7370468
2020-10-16,62212,7432680
